web-scraper-order,web-scraper-start-url,pagination,pagination-href,Text_select,Titulo ,Nota_element
"1561504532-2149","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","257","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or1280-Air-France","Nunca esperei que iria tomar champagne na classe econômica! O voo foi super tranquilo tanto na ida como na volta, serviço de bordo extremamente atencioso, inclusive dando dicas de colocar o cinto de segurança por cima do cobertor para que durante o voo o passageiro não seja importunado ou acordado para checagem dos cintos.","São Paulo to Paris","<span class=""ui_bubble_rating bubble_50""></span>"
"1561503994-1307","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","135","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or670-Air-France","Boa companhia, com funcionários todos muito atenciosos. Todos falam em francês e inglês e, no vôo, também havia uma comissária que falava em português. Apesar da classe econômica e da longa distância, o vôo foi bem tranquilo. Além disso, foi a companhia que forneceu as passagens com preços mais ""baratos"" que vi entre São Paulo e Lisboa, mesmo em comparação com companhias como a Azul, a TAM e a TAP.","Ótimo atendimento, viagem tranquila","<span class=""ui_bubble_rating bubble_50""></span>"
"1561504000-1315","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","132","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or655-Air-France","A Air France é uma cia que recomendo. Aviao limpo, com boa distancia para as pernas e voo direto com horario pontual","Boa Cia","<span class=""ui_bubble_rating bubble_40""></span>"
"1561504355-1877","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","92","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or455-Air-France","A Air France, diante de um cancelamento de vôo por motivos técnicos, deu toda a assistência à todos os passageiros, incluindo alimentação e hospedagem, além do reembolso legal devido.
Fiquei muito satisfeita com a seriedade e profissionalismo desta empresa aérea, voaria novamente com a Air France.","Minha experiência com atraso de vôo com a Air France","<span class=""ui_bubble_rating bubble_50""></span>"
"1561504028-1363","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","118","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or585-Air-France","o melhor serviço a bordo,com champangne, vinho e outras bebidas a vontade. filmes atualizados e boas revistas e jornais","excelente atendimento a bordo e segurança na saída e chegada da aeronave.","<span class=""ui_bubble_rating bubble_50""></span>"
"1561503883-1132","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","187","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or930-Air-France","O voo saiu e chegou no horário previsto, comissários procuram ser atenciosos. Comunicação a bordo somente na lingua Inglesa e Francesa (na minha opinião, voo que sai ou volta para o Brasil deveria ter comunicação em Portugues. Distancia entre as poltronas é bem apertada. Entretenimento individual em cada poltrona (variedade de filmes, músicas, programas esportivos, etc...). Checkin pode ser feito pela internet somente com 36 horas de antecedencia. Se for escolher poltrona antes do checkin vai ter que pagar por isto.
Pela internet pode-se escolher o cardápio preferido (eu escolhi o vegetariano e não gostei. O normal era melhor).
Pontuação de milhagem é decepcionante.","Dentro das espectativas","<span class=""ui_bubble_rating bubble_40""></span>"
"1561503768-948","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","243","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or1210-Air-France","O vôo em si foi ok, mas devido à greve da Air France o atendimento foi bem aquém do costumeiro.
O nosso vôo atrasou quase 3 horas em Paris e as informações aos passageiros eram praticamente inexistentes. Foram desembarcados cerca de 45 passageiros deste vôo e ninguém foi informado sobre os critérios envolvidos nesta ação.
O serviço de bordo, apesar da simpatia da comissária brasileira, deixou a desejar - eu havia solicitado refeição vegana, mas não foi disponibilizada no vôo, além do fato da comida ter sido servida completamente gelada.","Estresse por causa da greve da Air France","<span class=""ui_bubble_rating bubble_30""></span>"
"1561504320-1823","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","59","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or290-Air-France","Perfeito desde o atendimento em solo, refeições, simpatia, poltronas, pontualidade, tudo perfeito. Recomendo com certeza.","Perfeito","<span class=""ui_bubble_rating bubble_50""></span>"
"1561504114-1495","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","78","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or385-Air-France","Comprei bilhete na air france, mas no troço Lisboa - Paris, nos põem voando de lowcost (Joon). Se era para voar de lowcost, não escolhia a airfrance.","Compra air france mas voa air joon","<span class=""ui_bubble_rating bubble_30""></span>"
"1561503775-956","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","240","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or1195-Air-France","Atendimento excelente, conforto,comidas deliciosas,pontualidade!!
Único senão ,é a confusão do aeroporto de paris pra imigração e encontrar seu voo!!
Mas solicitei ajuda e foram muito solicito!!","A francesa !!","<span class=""ui_bubble_rating bubble_40""></span>"
